dataset,seed,num,train_loss,train_perf,valid_loss,valid_perf
AGNews,42,1,0.8880307674407959,0.734375,0.8508996963500977,0.71875
DBPedia,42,197,2.9315707683563232,0.4062500298023224,2.849933624267578,0.3660714328289032
MRPC,42,3,0.8103256821632385,0.46843853820598,0.7779874205589294,0.5733333333333335
RTE,42,7,0.8912743926048279,0.5,0.7542852163314819,0.65625
SNLI,42,2,1.0634609460830688,0.4375,1.064597725868225,0.5
SST-2,42,20,0.8979597091674805,0.53125,0.7616126537322998,0.6875
Yelp,42,25,0.25754252076148987,0.9354838132858276,0.24668391048908234,0.931034505367279
